EAR,MAR,TIME
0.26704294391837324,0.3310035531933583,13:10:19.290372
0.26704294391837324,0.3310035531933583,13:10:19.290372
0.18565657039776173,0.2159569554873025,13:10:19.707384
0.26704294391837324,0.3310035531933583,13:10:19.290372
0.18565657039776173,0.2159569554873025,13:10:19.707384
0.27520073806170076,0.5066013009061856,13:10:19.981116
0.26704294391837324,0.3310035531933583,13:10:19.290372
0.18565657039776173,0.2159569554873025,13:10:19.707384
0.27520073806170076,0.5066013009061856,13:10:19.981116
0.26531769783305914,1.7,13:10:20.250787
0.26704294391837324,0.3310035531933583,13:10:19.290372
0.18565657039776173,0.2159569554873025,13:10:19.707384
0.27520073806170076,0.5066013009061856,13:10:19.981116
0.26531769783305914,1.7,13:10:20.250787
0.31111208127744283,0.41231056256176607,13:10:31.136933
0.26704294391837324,0.3310035531933583,13:10:19.290372
0.18565657039776173,0.2159569554873025,13:10:19.707384
0.27520073806170076,0.5066013009061856,13:10:19.981116
0.26531769783305914,1.7,13:10:20.250787
0.31111208127744283,0.41231056256176607,13:10:31.136933
0.29505591323193614,0.539934634239519,13:10:31.418687
0.26704294391837324,0.3310035531933583,13:10:19.290372
0.18565657039776173,0.2159569554873025,13:10:19.707384
0.27520073806170076,0.5066013009061856,13:10:19.981116
0.26531769783305914,1.7,13:10:20.250787
0.31111208127744283,0.41231056256176607,13:10:31.136933
0.29505591323193614,0.539934634239519,13:10:31.418687
0.3080508815339093,0.3482553648651473,13:10:31.691956
0.26704294391837324,0.3310035531933583,13:10:19.290372
0.18565657039776173,0.2159569554873025,13:10:19.707384
0.27520073806170076,0.5066013009061856,13:10:19.981116
0.26531769783305914,1.7,13:10:20.250787
0.31111208127744283,0.41231056256176607,13:10:31.136933
0.29505591323193614,0.539934634239519,13:10:31.418687
0.3080508815339093,0.3482553648651473,13:10:31.691956
0.30116601384502095,0.41231056256176607,13:10:31.959241
0.26704294391837324,0.3310035531933583,13:10:19.290372
